id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,274879,3465,2415,566,603,3591.0,2882.25,1.011983871459961,0.9897887706756592,0,0,4032,3024
1,90500,3580,1432,451,363,3969.0,1464.75,1.0109007358551025,0.9915931224822998,0,0,4032,3024
2,38721,2343,614,264,277,2457.0,803.25,1.0105630159378052,0.9636990427970886,0,0,4032,3024
3,53872,3830,1947,201,389,3843.0,2315.25,1.0085190534591675,0.9904675483703613,0,0,4032,3024
4,213970,879,601,1000,409,1071.0,614.25,1.0067147016525269,0.9843551516532898,0,0,4032,3024
5,16864,209,2584,120,180,315.0,2693.25,1.0061341524124146,0.992789626121521,0,0,4032,3024
6,55057,521,497,146,487,567.0,519.75,1.0050926208496094,0.9835099577903748,0,0,4032,3024
7,25991,3918,0,113,269,3969.0,141.75,1.0039949417114258,0.9933645129203796,0,0,4032,3024
8,32728,1534,980,197,257,1575.0,1086.75,1.0019973516464233,0.9899355173110962,0,0,4032,3024
9,155833,1271,13,804,265,1449.0,47.25,1.0016818046569824,0.9888134598731995,0,0,4032,3024
10,157435,1288,311,752,472,1701.0,425.25,1.0010344982147217,0.9864807724952698,0,0,4032,3024
11,275099,3151,2415,880,603,3969.0,2504.25,1.0006959438323975,0.9865871667861938,0,0,4032,3024
12,31614,3767,203,264,290,3969.0,330.75,0.9987465143203735,0.9889336228370667,0,0,4032,3024
13,92158,2126,0,641,309,2205.0,236.25,0.9980890154838562,0.986760675907135,0,0,4032,3024
14,56531,151,265,177,532,189.0,708.75,0.9964857697486877,0.987294614315033,0,0,4032,3024
15,66272,438,88,429,359,819.0,425.25,0.9961376190185547,0.9848999977111816,0,0,4032,3024
16,57513,3539,2045,203,553,3717.0,2409.75,0.9951221346855164,0.9848827123641968,0,0,4032,3024
17,22536,2290,2628,129,275,2331.0,2693.25,0.9940102696418762,0.9864269495010376,0,0,4032,3024
18,50841,800,1541,278,487,819.0,1559.25,0.9934507012367249,0.9834617376327515,0,0,4032,3024
19,212425,556,1826,296,1192,693.0,1937.25,0.9924925565719604,0.9817320108413696,0,0,4032,3024
20,55114,2261,153,324,333,2457.0,330.75,0.992209255695343,0.9817138910293579,0,0,4032,3024
21,78140,0,645,383,569,189.0,803.25,0.9920681715011597,0.9791550636291504,0,0,4032,3024
22,35715,571,1531,143,334,693.0,1559.25,0.9917717576026917,0.9880326390266418,0,0,4032,3024
23,39301,3481,1347,212,322,3591.0,1464.75,0.9912574887275696,0.9850211143493652,0,0,4032,3024
24,34289,3694,1218,337,151,3969.0,1275.75,0.9907346963882446,0.9825646877288818,0,0,4032,3024
25,244820,822,1827,507,1190,1071.0,2693.25,0.9905641674995422,0.981513261795044,0,0,4032,3024
26,116318,1501,2142,508,662,1701.0,2693.25,0.9903703331947327,0.9818243980407715,0,0,4032,3024
27,32282,1283,919,218,248,1449.0,992.25,0.9902575612068176,0.9886986613273621,0,0,4032,3024
28,366596,2830,0,1030,942,3339.0,330.75,0.9898324012756348,0.9754855036735535,0,0,4032,3024
29,29348,255,18,139,283,315.0,236.25,0.9886816740036011,0.9850473403930664,0,0,4032,3024
30,27349,2887,2478,266,156,2961.0,2504.25,0.9883798956871033,0.988838791847229,0,0,4032,3024
31,11919,2246,2522,136,151,2331.0,2598.75,0.9877628684043884,0.9872435927391052,0,0,4032,3024
32,27060,0,120,254,184,189.0,141.75,0.9865171909332275,0.9868932962417603,0,0,4032,3024
33,40027,1184,1374,320,193,1449.0,1559.25,0.9863394498825073,0.980997622013092,0,0,4032,3024
34,156790,1094,1652,501,738,1449.0,2315.25,0.985981285572052,0.9807591438293457,0,0,4032,3024
35,20714,1037,1473,213,164,1197.0,1559.25,0.9855844974517822,0.9887716174125671,0,0,4032,3024
36,31537,1100,1264,399,136,1323.0,1370.25,0.9851716756820679,0.9820575714111328,0,0,4032,3024
37,45850,2339,943,288,281,2457.0,1086.75,0.9848121404647827,0.96563321352005,0,0,4032,3024
